Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00462-2017,Industrial,Bathurst Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Nov-17,Oct-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00462-2018,Animal,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jul-18,Nov-18, ,Breach – enforcement response completed
00462-2019,Development,Tamworth Regional,Lower North Coast Unregulated and Alluvial Water Sources ,Jun-19,Aug-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91A(1)-tier 2 - Using water without a water use approval, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",Low priority
00463-2018,,Federation,Murrumbidgee Unregulated and Alluvial Water Sources ,Jul-18,Oct-18,91D - Constructing or using flood work,Breach – enforcement response completed
00463-2019,Unknown,Narrabri,Upper and Lower Namoi Groundwater Sources ,Jun-19,Aug-19,60B - Contravention of terms and conditions of access licence,Low priority
00464-2018,Crop / horticulture,Central Coast,Central Coast Unregulated Water Sources ,Jul-18,Sep-19,91B - Constructing or using water supply work,No breach – other
00464-2019,Development,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jun-19,Jul-19,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,
00464-2020,Residential,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-20,Feb-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",
00465-2018,Crop / horticulture,Narromine,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-18,Nov-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00465-2019,Irrigation,Cowra,Lachlan Regulated River Water Source ,Jun-19,Aug-19,"60B - Contravention of terms and conditions of access licence, 91H - Failure to install or maintain metering equipment",Breach – enforcement response completed
00465-2020,Crop / horticulture,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Feb-20,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00466-2017,,Balranald,Lower Murray-Darling Unregulated and Alluvial Water Sources ,Nov-17,Nov-18,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work, 91A - Using water without, or otherwise than as authorised by, a water use approval",No breach – other
00466-2018,Development,Great Lakes,Lower North Coast Unregulated and Alluvial Water Sources ,Jul-18,Aug-18, ,No breach – referred to another agency
00466-2019,Development,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Jun-19,Sep-20,91E(2)-tier 2 - Carrying out a controlled activity with a controlled activity approval-but not in accordance with the controlled activity approval,No breach - insufficient evidence
00466-2020,Crop / horticulture,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Feb-20,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00467-2016,Unknown,Cobar,Lachlan Unregulated and Alluvial Water Sources ,Oct-16,Oct-18,"91B - Constructing or using water supply work, 91G - Contravention of terms and conditions of approval",Breach - Referred to NRAR Licencing & Approvals
00467-2018,Unknown,Wyong,Central Coast Unregulated Water Sources ,Jul-18,Mar-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Breach – enforcement response completed
00467-2019,Irrigation,Dubbo Regional,Barwon-Darling Unregulated and Alluvial Water Sources ,Jun-19,Aug-19,"60B - Contravention of terms and conditions of access licence, Aquifer Interference Activity",Breach – enforcement response completed
00467-2020,Development,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Feb-20,Apr-20, ,Breach – enforcement response completed
00468-2018,Unknown,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Jul-18,Sep-19,91E - Carrying out controlled activity,Low priority
00468-2019,Development,Balranald,Lachlan Unregulated and Alluvial Water Sources ,Jun-19,Apr-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00469-2017,Industrial,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Sep-17,Jan-19,91E - Carrying out controlled activity,No further action required
00469-2018,Crop / horticulture,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Duplicate Entry - refer to linked notification
00469-2019,Development,Fairfield,Greater Metropolitan Region Unregulated River Water Sources ,Jun-19,Aug-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – exempt
00469-2020,Other,Kempsey,Macleay Unregulated and Alluvial Water Source ,Feb-20,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Low priority
00470-2017,,Cabonne,Macquarie Bogan Unregulated and Alluvial Water Sources ,Nov-17,Dec-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00470-2019,Irrigation,Uralla,Gwydir Unregulated and Alluvial Water Sources ,Jun-19,Apr-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00470-2020,Animal,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-20,Apr-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00471-2018,,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – authorised by licence/approval
00471-2019,Development,Tenterfield,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jun-19,Jul-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00471-2020,Unknown,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-20,Jul-20, ,Low priority
00472-2017,Unknown,Great Lakes,Lower North Coast Unregulated and Alluvial Water Sources ,Nov-17,Oct-18,91B - Constructing or using water supply work,No breach – other
00472-2018,Other,Orange,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-18,Aug-19,91B - Constructing or using water supply work,Breach – enforcement response completed
00472-2019,Development,Greater Hume,Lower North Coast Unregulated and Alluvial Water Sources ,Jun-19,Sep-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00473-2018,Unknown,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Jun-18,Jan-19,91E - Carrying out controlled activity,No breach – other
00473-2019,Unknown,Eurobodalla,Clyde River Unregulated and Alluvial Water Sources ,Jun-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00473-2020,Animal,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Jul-20, ,Low priority
00474-2018,,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jul-18,Nov-18,91D - Constructing or using flood work,No breach – other
00474-2019,Irrigation,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Jun-19,Aug-19, ,No breach – other
00474-2020,Animal,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Jul-20, ,Low priority
00475-2016,,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Oct-16,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00475-2018,Unknown,Temora,Lachlan Unregulated and Alluvial Water Sources ,Jun-18,May-19,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – exempt
00475-2019,Irrigation,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Jun-19,Jan-20,60B - Contravention of terms and conditions of access licence,Low priority
00476-2016,,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Oct-16,Sep-18,60D - Taking water otherwise than from a nominated water supply work,No further action required
00476-2017,,Singleton,Hunter Unregulated and Alluvial Water Sources ,Nov-17,May-18,91B - Constructing or using water supply work,Breach - Referred to NRAR Licencing & Approvals
00476-2019,Unknown,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jun-19,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00476-2020,Animal,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Aug-20, ,No breach – other
00477-2016,Industrial,Warren,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-16,Nov-18,91G - Contravention of terms and conditions of approval,Breach – enforcement response completed
00477-2017,Crop / horticulture,Gosford,Central Coast Unregulated Water Sources ,Nov-17,Dec-18,91E - Carrying out controlled activity,Other (details in running log)
00477-2018,Crop / horticulture,Tamworth Regional,Murrumbidgee Unregulated and Alluvial Water Sources ,Jun-18,Oct-18, ,Breach – enforcement response completed
00477-2019,Industrial,Hilltops,NSW Murray Darling Basin Fractured Rock Groundwater Sources ,Jun-19,Jul-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 346-tier 2 - Drilling a bore but not in accordance with a bore driller's licence held by the person",No breach – other
00477-2020,Unknown,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Aug-20, ,No breach – other
00478-2017,,Liverpool,Greater Metropolitan Region Unregulated River Water Sources ,Nov-17,Feb-19,91E - Carrying out controlled activity,No breach – other
00478-2019,Development,Central Coast,Central Coast Unregulated Water Sources ,Jun-19,Jan-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – authorised by licence/approval
00478-2020,Unknown,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Aug-20, ,No breach – other
00479-2016,Animal,Hilltops,Murrumbidgee Unregulated and Alluvial Water Sources ,Oct-16,Jul-19,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Other (details in running log)
00479-2018,Development,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jun-18,Aug-18, ,No breach – referred to another agency
00479-2019,Irrigation,Cowra,Lachlan Unregulated and Alluvial Water Sources ,Jun-19,Oct-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00480-2017,Other,Port Stephens,Hunter Unregulated and Alluvial Water Sources ,Nov-17,Jul-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00480-2018,Unknown,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00480-2019,Individual,Central Coast,Greater Metropolitan Region Unregulated River Water Sources ,Jun-19,Oct-20,336C(1)-tier 2 - Failure of a person to comply with a direction under Part 1 of Chapter 7 of the WM Act,Breach – enforcement response completed
00480-2020,Residential,Blue Mountains,Greater Metropolitan Region Groundwater Sources ,Feb-20,Mar-20,"60C - Taking water for which there is no, or insufficient, water allocation",Duplicate Entry - refer to linked notification
00481-2017,,Eurobodalla,Tuross River Unregulated and Alluvial Water Sources ,Nov-17,Jun-18,91B - Constructing or using water supply work,No breach – other
00481-2018,Crop / horticulture,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jun-18,Oct-18, ,No breach – other
00481-2019,Industrial,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Jun-19,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach - information request
00481-2020,Crop / horticulture,Gilgandra,Castlereagh River Unregulated and Alluvial Water Sources ,Feb-20,Mar-20, ,Breach – enforcement response completed
00482-2018,Crop / horticulture,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jul-18,Jul-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work, 91A - Using water without, or otherwise than as authorised by, a water use approval, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended), 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",Prosecution completed - charges upheld
00482-2019,Unknown,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jun-19,Mar-20, ,Breach – enforcement response completed
00482-2020,Development,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Feb-20,Dec-20,345(2)-tier 2 - Causing harm to aquifers or waterfront land,No breach – other
00483-2018,Animal,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jul-18,Aug-18, ,Duplicate Entry - refer to linked notification
00483-2019,Crop / horticulture,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jun-19,Mar-20, ,Duplicate Entry - refer to linked notification
00483-2020,Unknown,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-20,Oct-20,336C(1)-tier 2 - Failure of a person to comply with a direction under Part 1 of Chapter 7 of the WM Act,No breach – other
00484-2017,,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Nov-17,Aug-18,91E - Carrying out controlled activity,No breach – authorised by licence/approval
00484-2018,Individual,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Jun-18,Aug-18, ,Breach – enforcement response completed
00484-2019,Unknown,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jun-19,Mar-20, ,Breach – enforcement response completed
00484-2020,Unknown,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Oct-20, ,Low priority
00485-2017,Industrial,Coonamble,Castlereagh River Unregulated and Alluvial Water Sources ,Nov-17,Oct-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00485-2018,Unknown,Great Lakes,Lower North Coast Unregulated and Alluvial Water Sources ,Jul-18,Feb-19,91E - Carrying out controlled activity,No breach – referred to another agency
00485-2019,Development,Armidale Regional,Macleay Unregulated and Alluvial Water Source ,Jun-19,Jun-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00485-2020,Animal,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Feb-20,Aug-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00486-2018,Crop / horticulture,Young,Murrumbidgee Unregulated and Alluvial Water Sources ,Jul-18,Aug-18,91E - Carrying out controlled activity,No breach – other
00487-2016,,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Nov-16,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00487-2017,Residential,Central Darling,Barwon-Darling Unregulated and Alluvial Water Sources ,Nov-17,Jun-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00487-2018,Animal,Guyra,Clarence River Unregulated and Alluvial Water Sources ,Jul-18,Oct-18, ,Breach – enforcement response completed
00487-2020,Unknown,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Oct-20, ,Low priority
00488-2017,,Wyong,Central Coast Unregulated Water Sources ,Nov-17,Sep-18,91E - Carrying out controlled activity,No breach – referred to another agency
00488-2018,,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-18,Mar-19, ,No breach – exempt
00488-2019,Unknown,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Jun-19,Jan-20,60B - Contravention of terms and conditions of access licence,Referred to Audit Group
00488-2020,Unknown,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Oct-20, ,No breach – other
00489-2017,,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Nov-17,Sep-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00489-2018,Unknown,Bega Valley,Tuross River Unregulated and Alluvial Water Sources ,Jun-18,Sep-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00489-2019,Crop / horticulture,Liverpool Plains,Namoi Unregulated and Alluvial Water Sources ,Jun-19,Mar-20,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00489-2020,Unknown,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Feb-20,Oct-20, ,Low priority
00490-2018,Unknown,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Jul-18,Nov-20,91G - Contravention of terms and conditions of approval,Duplicate Entry - refer to linked notification
00490-2019,Unknown,Berrigan,Lower Murray Shallow Groundwater Sources ,Jun-19,Sep-19,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00490-2020,Development,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Feb-20,Dec-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00491-2016,,Fairfield,Greater Metropolitan Region Unregulated River Water Sources ,Nov-16,Oct-18,91E - Carrying out controlled activity,Other (details in running log)
00491-2018,Unknown,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Jul-18,May-20,91B - Constructing or using water supply work,Breach – enforcement response completed
00491-2020,Residential,Central Coast,North Coast Coastal Sands Groundwater Sources ,Feb-20,May-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00492-2020,Crop / horticulture,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-20,Apr-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00493-2020,Unknown,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Feb-20,Dec-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00494-2017,,Corowa,Murrumbidgee Unregulated and Alluvial Water Sources ,Nov-17,Oct-18,91B - Constructing or using water supply work,No breach – referred to another agency
00494-2018,,Cabonne,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jul-18,Nov-18,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00495-2017,,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Nov-17,Aug-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00495-2018,,Tenterfield,Clarence River Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00495-2019,Irrigation,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-19,Aug-19,60B - Contravention of terms and conditions of access licence,No breach – other
00495-2020,Crop / horticulture,Edward River,Lower Murray Shallow Groundwater Sources ,Feb-20,Mar-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00496-2018,Unknown,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jul-18,Aug-19,Aquifer Interference Activity,Breach – enforcement response completed
00496-2019,Residential,Wingecarribee,Greater Metropolitan Region Groundwater Sources ,Jun-19,May-20,"346-tier 2 - Drilling a bore but not in accordance with a bore driller's licence held by the person, 60B - Contravention of terms and conditions of access licence, Aquifer Interference Activity",No breach – authorised by licence/approval
00496-2020,Crop / horticulture,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-20,Jul-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority
00497-2018,Unknown,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Jun-18,Sep-19,91E - Carrying out controlled activity,Low priority
00497-2019,Unknown,Narrandera,Lower Murrumbidgee Groundwater Sources ,Jun-19,Aug-19,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00497-2020,Unknown,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-20,Jul-20,"60B - Contravention of terms and conditions of access licence, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority
00498-2018,Irrigation,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Jul-18,Aug-19,60B - Contravention of terms and conditions of access licence,Lack of information provided
00499-2017,,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Nov-17,Jan-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00499-2018,Crop / horticulture,Edward River,Lower Murray-Darling Unregulated and Alluvial Water Sources ,Jul-18,Oct-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Duplicate Entry - refer to linked notification
00499-2019,Irrigation,Moree Plains,Lower Murray-Darling Unregulated and Alluvial Water Sources ,Jun-19,Jan-20,91K - Meter tampering,Other (details in running log)
00499-2020,Development,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-20,Mar-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority
00500-2018,Individual,Upper Lachlan Shire,Lachlan Unregulated and Alluvial Water Sources ,Jul-18,Jan-20,91B - Constructing or using water supply work,Breach – enforcement response completed
00500-2019,Development,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Jun-19,Apr-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00500-2020,Crop / horticulture,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Nov-19,Jun-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00501-2018,,Bellingen,Bellinger River Area Unregulated and Alluvial Water Sources ,Jul-18,Dec-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00501-2019,Crop / horticulture,Wentworth,NSW Murray and Lower Darling Regulated Rivers Water Sources ,Jun-19,Apr-20,91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended),No breach – other
00501-2020,Crop / horticulture,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Nov-19,Jul-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00502-2017,,Dungog,Hunter Unregulated and Alluvial Water Sources ,Nov-17,Oct-18,91B - Constructing or using water supply work,Breach - Referred to NRAR Licencing & Approvals
00502-2018,Industrial,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Jul-18,Aug-18, ,No breach – referred to another agency
00502-2019,Unknown,Gunnedah,Upper and Lower Namoi Groundwater Sources ,Jun-19,Jul-20,60B - Contravention of terms and conditions of access licence,No breach - insufficient evidence
00502-2020,Crop / horticulture,Queanbeyan-Palerang Regional,NSW Murray Darling Basin Fractured Rock Groundwater Sources ,Feb-20,Apr-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Duplicate Entry - refer to linked notification
00503-2017,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Nov-17,May-18,60D - Taking water otherwise than from a nominated water supply work,Breach – enforcement response completed
00503-2018,,Wagga Wagga,Murrumbidgee Unregulated and Alluvial Water Sources ,Jul-18,Aug-18, ,No breach – other
00503-2020,Crop / horticulture,Glen Innes Severn Shire,NSW Border Rivers Unregulated and Alluvial Water Sources ,Mar-19,Sep-20,"91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",No breach - insufficient evidence
00504-2017,,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Nov-17,Jul-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00504-2018,Unknown,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jul-18,Oct-18, ,Breach – enforcement response completed
00505-2017,,Conargo,Murrumbidgee Unregulated and Alluvial Water Sources ,Nov-17,Aug-18,91G - Contravention of terms and conditions of approval,Breach - Referred to NRAR Licencing & Approvals
00505-2019,Irrigation,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jun-19,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00505-2020,Crop / horticulture,Bega Valley,South Coast Groundwater Sources ,Jan-19,Mar-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach - insufficient evidence
00506-2016,,Greater Taree,Lower North Coast Unregulated and Alluvial Water Sources ,Nov-16,Mar-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Breach – enforcement response completed
00506-2017,,Wagga Wagga,Murrumbidgee Unregulated and Alluvial Water Sources ,Dec-17,Jun-18,91B - Constructing or using water supply work,Breach - Referred to NRAR Licencing & Approvals
00506-2018,Crop / horticulture,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Jul-18,Nov-19, ,No breach - insufficient evidence
00506-2019,Unknown,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-19,Aug-19,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00508-2018,,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jul-18,Sep-18, ,No breach – other
00508-2020,Development,Randwick,Greater Metropolitan Region Groundwater Sources ,Feb-20,May-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work, Aquifer Interference Activity",No breach – exempt
00509-2017,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Dec-17,Aug-18,91E - Carrying out controlled activity,No breach – exempt
00509-2020,Development,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Mar-20,Oct-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00510-2018,Unknown,Snowy Monaro Regional,Snowy Genoa Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00510-2019,Urban,Narromine,Lower Macquarie Groundwater Source ,Jun-19,Aug-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00510-2020,Development,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-20,Aug-20, ,Breach – enforcement response completed
00511-2018,,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Jul-18,Aug-18, ,No breach – other
00511-2019,Development,Armidale Regional,Macleay Unregulated and Alluvial Water Source ,Jun-19,Jun-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00511-2020,Crop / horticulture,Forbes,Lachlan Unregulated and Alluvial Water Sources ,Mar-20,Aug-20,"91G(1), (2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the terms or conditions of the approval, 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00512-2018,Unknown,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Jul-18,Aug-19,91E - Carrying out controlled activity,
